time;buy rate;sell rate
168;1;1,8
169;1,24709;1,8
170;1,38317;1,8
171;1,38317;1,8
172;1,38317;1,8
173;1,37103;1,8
174;1,37103;1,8
175;1,3601;1,8
176;1,47576;1,8
177;1;1,8
178;1;1,79415
179;1;1,8
180;1;1,8
181;1;1,8
182;1,31413;1,8
183;1;1,8
184;1,09176;1,8
185;1;1,8
186;1;1,8
187;1,13236;1,8
188;1,13236;1,8
189;1,31206;1,8
190;1,31206;1,8
191;1,43935;1,8
192;1,43935;1,8
193;1,43935;1,8
194;1,43935;1,8
195;1,49042;1,8
196;1,49042;1,76903
197;1,49042;1,75547
198;1,49042;1,8
199;1,62738;1,8
200;1,62738;1,8
201;1,62738;1,8
202;1,62738;1,8
203;1,62738;1,76684
204;1,68979;1,76684
205;1,68979;1,76684
206;1,68979;1,75962
207;1,62738;1,75257
208;1,67046;1,75962
209;1,43935;1,75962
210;1,43935;1,75962
211;1,43935;1,75962
212;1,59036;1,75962
213;1,59036;1,75962
214;1,43935;1,75678
215;1,43935;1,75678
216;1,47424;1,75678
217;1,47424;1,75962
218;1,47424;1,75962
219;1,47424;1,75962
220;1,57253;1,75962
221;1,57253;1,75962
222;1,57253;1,69131
223;1,63113;1,69131
224;1,65148;1,8
225;1,65148;1,8
226;1,65148;1,8
227;1,65148;1,8
228;1,65148;1,8
229;1,65148;1,8
230;1,66036;1,8
231;1,66036;1,8
232;1,66036;1,8
233;1,66036;1,74855
234;1,66036;1,74855
235;1,66036;1,74855
236;1,68765;1,74855
237;1,68765;1,74855
238;1,68765;1,74855
239;1,69904;1,74855
240;1,69904;1,74855
241;1,69904;1,8
242;1,72712;1,8
243;1,72712;1,8
244;1,70073;1,8
245;1,70073;1,8
246;1,73525;1,8
247;1,73525;1,8
248;1,73775;1,8
249;1,73775;1,8
250;1,73775;1,8
251;1,73775;1,8
252;1,73775;1,797
253;1,73775;1,78358
254;1,73775;1,78358
255;1,73775;1,78358
256;1,74829;1,78358
257;1,75876;1,78358
258;1,75876;1,78358
259;1,75876;1,78108
260;1,76115;1,78358
261;1,76115;1,78358
262;1,76115;1,78358
263;1,76303;1,78358
264;1,76303;1,78358
265;1,76303;1,78358
266;1,76303;1,8
267;1,77069;1,8
268;1,77479;1,8
269;1,77479;1,79017
270;1,77479;1,79017
271;1,76115;1,79017
272;1,75876;1,77637
273;1,75876;1,79017
274;1,75876;1,77827
275;1,75876;1,79017
276;1,75876;1,79017
277;1,75876;1,79017
278;1,7637;1,79017
279;1,76851;1,79017
280;1,7637;1,79017
281;1,7637;1,78966
282;1,76917;1,79017
283;1,76917;1,79017
284;1,76917;1,7923
285;1,7637;1,78375
286;1,75876;1,78375
287;1,75876;1,78996
288;1,75468;1,78996
289;1,76759;1,78996
290;1,7732;1,7923
291;1,7732;1,7923
292;1,7732;1,7923
293;1,77876;1,7923
294;1,78399;1,7923
295;1,75468;1,7923
296;1,75468;1,7923
297;1,75468;1,7923
298;1,75468;1,7923
299;1,75468;1,7923
300;1,75468;1,7923
301;1,75468;1,7923
302;1,75468;1,79191
303;1,75468;1,7923
304;1,75468;1,7923
305;1,75468;1,7923
306;1,75468;1,7923
307;1,75468;1,7923
308;1,75468;1,7923
309;1,75594;1,7923
310;1,75468;1,7923
311;1,76956;1,7923
312;1,76956;1,79298
313;1,76737;1,79298
314;1,77533;1,79298
315;1,77533;1,78922
316;1,77533;1,79333
317;1,77103;1,79333
318;1,77103;1,79986
319;1,77103;1,79315
320;1,77103;1,79315
321;1,77103;1,78823
322;1,77103;1,78823
323;1,77407;1,78823
324;1,77407;1,78823
325;1,77407;1,78823
326;1,77407;1,78823
327;1,77407;1,79986
328;1,77103;1,79986
329;1,77103;1,79986
330;1,76737;1,79986
331;1,76649;1,78894
332;1,76649;1,8
333;1,76922;1,8
334;1,76922;1,8
335;1,76922;1,8
336;1,76922;1,8
337;1,76922;1,8
338;1,76922;1,7922
339;1,77681;1,7922
340;1,77681;1,7922
341;1,77681;1,7922
342;1,77681;1,7922
343;1,76922;1,7922
344;1,76922;1,8
345;1,75908;1,8
346;1,76202;1,8
347;1,76202;1,8
348;1,76202;1,8
349;1,76202;1,79564
350;1,76202;1,79564
351;1,76202;1,8
352;1,76202;1,8
353;1,77775;1,8
354;1,76202;1,79647
355;1,76202;1,78183
356;1,76202;1,78183
357;1,76887;1,78183
358;1,76887;1,79647
359;1,76887;1,79647
360;1,76887;1,78993
361;1,76887;1,79647
362;1,76887;1,79647
363;1,76887;1,8
364;1,76887;1,8
365;1,77183;1,8
366;1,77183;1,8
367;1,76887;1,8
368;1,76887;1,8
369;1,78164;1,8
370;1,78164;1,8
371;1,78164;1,8
372;1,78135;1,8
373;1,78135;1,79692
374;1,78135;1,79692
375;1,78135;1,79692
376;1,78135;1,79789
377;1,78135;1,79789
378;1,78907;1,79789
379;1,79299;1,79789
380;1,79299;1,79789
381;1,79299;1,79789
382;1,79299;1,79789
383;1,79392;1,8
384;1,79392;1,79984
385;1,79392;1,79801
386;1,79418;1,8
387;1,79418;1,8
388;1,79392;1,79969
389;1,79392;1,79969
390;1,79392;1,79969
391;1,79392;1,79969
392;1,79392;1,79969
393;1,79392;1,79969
394;1,78135;1,79748
395;1,76887;1,78955
396;1,7747;1,78955
397;1,7747;1,78673
398;1,77932;1,78673
399;1,78119;1,78673
400;1,78219;1,79969
401;1,78219;1,79831
402;1,78219;1,79831
403;1,78219;1,79831
404;1,78219;1,79831
405;1,78533;1,79831
406;1,78219;1,79831
407;1,78219;1,79831
408;1,78219;1,79831
409;1,78219;1,8
410;1,78219;1,8
411;1,78987;1,8
412;1,78219;1,79713
413;1,78219;1,79713
414;1,78219;1,79713
415;1,78219;1,8
416;1,78219;1,79719
417;1,78219;1,8
418;1,78219;1,8
419;1,78849;1,8
420;1,78849;1,79695
421;1,78849;1,79695
422;1,78849;1,79695
423;1,78849;1,79695
424;1,78937;1,79695
425;1,79201;1,79695
426;1,79201;1,79695
427;1,79201;1,79496
428;1,79252;1,79496
429;1,79252;1,8
430;1,79252;1,8
431;1,79252;1,8
432;1,79252;1,8
433;1,79252;1,8
434;1,79252;1,8
435;1,79444;1,8
436;1,79368;1,8
437;1,79534;1,8
438;1,79534;1,8
439;1,79534;1,8
440;1,79534;1,8
441;1,79534;1,8
442;1,79534;1,79802
443;1,79652;1,8
444;1,79534;1,7987
445;1,79368;1,79722
446;1,79512;1,79722
447;1,79368;1,79722
448;1,79368;1,79722
449;1,79536;1,79722
450;1,79536;1,79679
451;1,79536;1,79659
452;1,79536;1,79659
453;1,79536;1,79679
454;1,79536;1,79661
455;1,79536;1,79722
456;1,79536;1,79722
457;1,78119;1,79722
458;1,78119;1,79722
459;1,78119;1,79722
460;1,78119;1,79722
461;1,78247;1,79722
462;1,78247;1,7932
463;1,78247;1,78982
464;1,77932;1,78982
465;1,77932;1,78674
466;1,77932;1,78674
467;1,77932;1,78674
468;1,77932;1,78674
469;1,77932;1,78674
470;1,77932;1,78674
471;1,77977;1,78674
472;1,78257;1,78674
473;1,78257;1,79799
474;1,77977;1,79436
475;1,77977;1,79278
476;1,77977;1,79088
477;1,77977;1,79799
478;1,77977;1,79799
479;1,77977;1,79799
480;1,77977;1,79799
481;1,77977;1,79799
482;1,77977;1,79799
483;1,77977;1,79799
484;1,77977;1,79799
485;1,77977;1,79799
486;1,77932;1,79799
487;1,77932;1,79799
488;1,77932;1,79799
489;1,77932;1,79799
490;1,77932;1,79799
491;1,77932;1,79305
492;1,77932;1,7914
493;1,78028;1,79799
494;1,78859;1,79799
495;1,78859;1,79799
496;1,78859;1,79799
497;1,78859;1,79799
498;1,78859;1,79694
499;1,78859;1,79694
500;1,78859;1,7984
501;1,78859;1,7984
502;1,78859;1,79816
503;1,78859;1,79816
504;1,78859;1,79816
505;1,77932;1,79565
506;1,77932;1,7881
507;1,77932;1,78794
508;1,77932;1,7881
509;1,77916;1,7881
510;1,77916;1,7881
511;1,77916;1,7881
512;1,77841;1,7881
513;1,77909;1,7881
514;1,77909;1,7881
515;1,77909;1,7881
516;1,77822;1,7881
517;1,77822;1,7881
518;1,7805;1,7881
519;1,77822;1,7881
520;1,77822;1,78429
521;1,77822;1,7881
522;1,77813;1,7881
523;1,77813;1,7881
524;1,77813;1,7881
525;1,778;1,7881
526;1,78186;1,7881
527;1,78186;1,7881
528;1,78186;1,7863
529;1,78238;1,7863
530;1,78238;1,7863
531;1,78161;1,7854
532;1,78195;1,7863
533;1,78161;1,7863
534;1,78282;1,7863
535;1,78282;1,7863
536;1,78282;1,78507
537;1,78282;1,78507
538;1,78282;1,78596
539;1,78282;1,7863
540;1,78282;1,7863
541;1,78161;1,7862
542;1,78161;1,7862
543;1,78161;1,7862
544;1,78161;1,7881
545;1,78161;1,7881
546;1,78161;1,78704
547;1,78193;1,78704
548;1,778;1,78704
549;1,78002;1,7881
550;1,78002;1,79087
551;1,78002;1,79087
552;1,78002;1,78662
553;1,78002;1,78662
554;1,78002;1,78662
555;1,78002;1,78662
556;1,78002;1,78517
557;1,78002;1,78517
558;1,78036;1,78517
559;1,78036;1,79087
560;1,7832;1,79087
561;1,7832;1,7901
562;1,78002;1,78733
563;1,78002;1,78605
564;1,77926;1,78605
565;1,77926;1,78522
566;1,77926;1,78522
567;1,78085;1,79197
568;1,78085;1,79197
569;1,77827;1,79074
570;1,77827;1,79197
571;1,77827;1,79197
572;1,77827;1,79197
573;1,78252;1,79197
574;1,78252;1,79197
575;1,78252;1,79197
576;1,78636;1,79197
577;1,78636;1,79197
578;1,78636;1,79197
579;1,78636;1,79197
580;1,78636;1,79197
581;1,78764;1,79389
582;1,78764;1,792
583;1,78805;1,792
584;1,78805;1,792
585;1,78876;1,792
586;1,78876;1,79389
587;1,78876;1,79389
588;1,78876;1,79389
589;1,78876;1,79389
590;1,78876;1,79389
591;1,78876;1,79358
592;1,78876;1,79389
593;1,78812;1,79389
594;1,78812;1,79389
595;1,78812;1,79389
596;1,79068;1,7984
597;1,79068;1,7984
598;1,78844;1,7984
599;1,78844;1,8
600;1,79227;1,8
601;1,79227;1,8
602;1,79227;1,8
603;1,79227;1,8
604;1,79227;1,8
605;1,79227;1,8
606;1,79227;1,8
607;1,79227;1,8
608;1,79227;1,8
609;1,79227;1,8
610;1,79227;1,8
611;1,79049;1,79628
612;1,79262;1,8
613;1,795;1,8
614;1,78764;1,8
615;1,79154;1,8
616;1,79154;1,8
617;1,79154;1,8
618;1,778;1,8
619;1,778;1,79547
620;1,778;1,79547
621;1,778;1,79547
622;1,778;1,79547
623;1,778;1,79547
624;1,7816;1,79547
625;1,7816;1,79547
626;1,78239;1,79547
627;1,78239;1,7942
628;1,78239;1,7942
629;1,77701;1,79134
630;1,77701;1,7942
631;1,77701;1,78767
632;1,77701;1,78767
633;1,77431;1,78767
634;1,77101;1,78767
635;1,7712;1,78767
636;1,7712;1,78767
637;1,7712;1,78483
638;1,76887;1,77989
639;1,76887;1,77641
640;1,76887;1,77459
641;1,76469;1,77431
642;1,76469;1,77318
643;1,76469;1,77318
644;1,76658;1,77318
645;1,76658;1,77318
646;1,76658;1,77318
647;1,76658;1,77318
648;1,76306;1,76996
649;1,76306;1,76996
650;1,76306;1,76888
651;1,76306;1,76888
652;1,76446;1,76888
653;1,76651;1,76888
654;1,76651;1,76853
655;1,76651;1,7685
656;1,76651;1,76888
657;1,76651;1,77431
658;1,7659;1,77282
659;1,7659;1,77282
660;1,7659;1,77282
661;1,76625;1,77431
662;1,76625;1,77431
663;1,76649;1,77431
664;1,76649;1,77402
665;1,76692;1,77431
666;1,76692;1,77431
667;1,7659;1,77431
668;1,7659;1,77431
669;1,76395;1,77431
670;1,76395;1,77431
671;1,76395;1,77431
672;1,76469;1,77431
673;1,76244;1,77431
674;1,76244;1,77431
675;1,76202;1,77431
676;1,76202;1,77459
677;1,75908;1,77459
678;1,75908;1,77459
679;1,76335;1,77459
680;1,74987;1,7739
681;1,74987;1,7739
682;1,74987;1,7739
683;1,75886;1,7739
684;1,75633;1,7739
685;1,75633;1,77459
686;1,75633;1,77459
687;1,76432;1,78483
688;1,76432;1,78483
689;1,76432;1,78483
690;1,76432;1,78178
691;1,76432;1,78178
692;1,76432;1,78178
693;1,76432;1,77561
694;1,76432;1,78178
695;1,76432;1,78045
696;1,76432;1,78045
697;1,76432;1,78045
698;1,74259;1,78045
699;1,74259;1,78045
700;1,74259;1,78045
701;1,74259;1,78045
702;1,74259;1,78045
703;1,75931;1,78045
704;1,74259;1,78045
705;1,74259;1,78178
706;1,74259;1,78178
707;1,74259;1,78178
708;1,74259;1,78178
709;1,74259;1,78178
710;1,74259;1,78178
711;1,74259;1,78178
712;1,74259;1,78178
713;1,74259;1,78178
714;1,74259;1,76754
715;1,74505;1,78178
716;1,74259;1,78047
717;1,74259;1,78047
718;1,74259;1,76269
719;1,74259;1,76269
720;1,74259;1,76269
721;1,74259;1,76269
722;1,74259;1,76739
723;1,74259;1,76739
724;1,74259;1,76739
725;1,74259;1,76739
726;1,74259;1,76739
727;1,75263;1,76739
728;1,75263;1,78178
729;1,75263;1,78178
730;1,75263;1,78178
731;1,75619;1,78178
732;1,75619;1,78178
733;1,76551;1,78483
734;1,76713;1,78483
735;1,70073;1,78483
736;1,70073;1,78483
737;1,71826;1,79547
738;1,72881;1,79861
739;1,72881;1,78101
740;1,72881;1,8
741;1,72881;1,8
742;1,72881;1,7737
743;1,70073;1,75216
744;1,72328;1,8
745;1,70073;1,8
746;1,70073;1,8
747;1,70073;1,75973
748;1,70073;1,73399
749;1,70073;1,72241
750;1,70073;1,72241
751;1,71107;1,72241
752;1,70073;1,71889
753;1,69904;1,71889
754;1,70043;1,71889
755;1,70043;1,71889
756;1,70043;1,71889
757;1,70301;1,71889
758;1,70301;1,71889
759;1,70301;1,71889
760;1,70301;1,71889
761;1,70301;1,71889
762;1,70301;1,71889
763;1,70301;1,71889
764;1,70301;1,71889
765;1,70301;1,8
766;1,72285;1,8
767;1,72088;1,8
768;1,72088;1,8
769;1,72088;1,8
770;1,72088;1,8
771;1,72088;1,8
772;1,72088;1,8
773;1,70301;1,8
774;1,70301;1,8
775;1,70301;1,8
776;1,70301;1,8
777;1,70301;1,8
778;1,70301;1,8
779;1,72244;1,8
780;1,72244;1,7778
781;1,70301;1,7778
782;1,70301;1,79628
783;1,70043;1,79628
784;1,70043;1,79628
785;1,70043;1,77553
786;1,70043;1,77553
787;1,69904;1,7561
788;1,69904;1,74073
789;1,71199;1,74073
790;1,69904;1,74073
791;1,69904;1,74073
792;1,69904;1,74073
793;1,69904;1,72463
794;1,69904;1,72068
795;1,68503;1,71638
796;1,68851;1,71638
797;1,68503;1,71638
798;1,62494;1,71638
799;1,43935;1,67283
800;1,43495;1,67283
801;1,43495;1,63951
802;1,43495;1,63951
803;1,43495;1,63951
804;1,43495;1,64975
805;1,43495;1,64975
806;1,43495;1,64975
807;1,43495;1,64975
808;1,43495;1,64975
809;1,43495;1,64975
810;1,43495;1,64975
811;1,43495;1,64975
812;1,43495;1,57541
813;1,43495;1,57541
814;1,50307;1,57541
815;1,50307;1,55173
816;1,50307;1,55173
817;1,40042;1,53876
818;1,40042;1,53876
819;1,40042;1,47388
820;1,40042;1,47388
821;1,42486;1,47388
822;1,42486;1,45618
823;1,42486;1,498
824;1,42486;1,498
825;1,42486;1,46824
826;1,42486;1,45353
827;1,42511;1,498
828;1,429;1,498
829;1,429;1,498
830;1,429;1,498
831;1,43036;1,498
832;1,43036;1,498
833;1,43036;1,498
834;1,44659;1,498
835;1,45874;1,498
836;1,45874;1,48185
837;1,4689;1,48185
838;1,4689;1,47664
839;1,42486;1,4743
840;1,42486;1,498
841;1,42486;1,498
842;1,42486;1,498
843;1,42489;1,498
844;1,42489;1,498
845;1,42489;1,49156
846;1,43711;1,49156
847;1,43711;1,49156
848;1,42489;1,49156
849;1,42489;1,47686
850;1,42489;1,46424
851;1,42489;1,46244
852;1,42489;1,46244
853;1,4407;1,46244
854;1,4407;1,46244
855;1,44136;1,46244
856;1,44451;1,46244
857;1,44562;1,46244
858;1,453;1,46244
859;1,453;1,45856
860;1,453;1,45683
861;1,453;1,45683
862;1,453;1,45683
863;1,453;1,45683
864;1,453;1,45683
865;1,453;1,45655
866;1,44562;1,45655
867;1,44928;1,45655
868;1,44562;1,45655
869;1,44562;1,50694
870;1,44562;1,49675
871;1,44562;1,49675
872;1,44136;1,49675
873;1,44136;1,49675
874;1,44136;1,50694
875;1,42489;1,49233
876;1,42489;1,46831
877;1,42489;1,45834
878;1,42489;1,45834
879;1,42945;1,45852
880;1,43344;1,45852
881;1,40042;1,45852
882;1,40042;1,45852
883;1,40116;1,45852
884;1,37136;1,45852
885;1,37136;1,44298
886;1,37136;1,44298
887;1,37136;1,44298
888;1,37136;1,44298
889;1,40199;1,49233
890;1,37045;1,49233
891;1,37045;1,49233
892;1,37045;1,49233
893;1,37045;1,49233
894;1,37045;1,49233
895;1,37045;1,49233
896;1,3859;1,49233
897;1,3859;1,49233
898;1,37045;1,49233
899;1,37045;1,49233
900;1,37045;1,49233
901;1,43119;1,49233
902;1,43119;1,5222
903;1,43119;1,50734
904;1,43119;1,50734
905;1,43119;1,50734
906;1,43119;1,50734
907;1,37045;1,50734
908;1,37045;1,50734
909;1,37045;1,49319
910;1,37298;1,49319
911;1,37298;1,55128
912;1,37298;1,55128
913;1,37298;1,55128
914;1,37298;1,55128
915;1,37298;1,55128
916;1,38362;1,55173
917;1,38362;1,52024
918;1,38362;1,55173
919;1,38362;1,48907
920;1,38362;1,48907
921;1,38362;1,48907
922;1,38362;1,6002
923;1,38362;1,6002
924;1,38362;1,6002
925;1,38362;1,6002
926;1,38362;1,6002
927;1,38362;1,6002
928;1,38362;1,64975
929;1,38362;1,54289
930;1,38362;1,54289
931;1,37298;1,48211
932;1,37298;1,48211
933;1,4062;1,48211
934;1,41567;1,48211
935;1,41258;1,48211
936;1,43991;1,48211
937;1,43991;1,48211
938;1,43991;1,53641
939;1,43991;1,53641
940;1,43991;1,53641
941;1,43991;1,53641
942;1,43991;1,50795
943;1,43991;1,50795
944;1,43991;1,50795
945;1,43991;1,50795
946;1,43991;1,50795
947;1,43991;1,50795
948;1,45288;1,50795
949;1,43991;1,50795
950;1,46592;1,50795
951;1,46592;1,50795
952;1,46592;1,50795
953;1,47136;1,50795
954;1,47136;1,50795
955;1,46592;1,50795
956;1,46392;1,50079
957;1,46392;1,50079
958;1,46392;1,50079
959;1,46392;1,50079
960;1,46392;1,50079
961;1,46392;1,50079
962;1,47235;1,50079
963;1,47235;1,50079
964;1,47235;1,5002
965;1,47375;1,5002
966;1,47375;1,50079
967;1,46392;1,49051
968;1,46392;1,49051
969;1,46392;1,49051
970;1,46392;1,49051
971;1,46392;1,49051
972;1,46392;1,47792
973;1,46392;1,49051
974;1,46392;1,48894
975;1,46392;1,48894
976;1,46392;1,48894
977;1,46392;1,48563
978;1,45988;1,47624
979;1,45988;1,47624
980;1,45988;1,48563
981;1,45988;1,48129
982;1,45988;1,48563
983;1,45988;1,48563
984;1,46489;1,48563
985;1,46489;1,48563
986;1,46489;1,48563
987;1,45988;1,48173
988;1,46201;1,48173
989;1,46201;1,48173
990;1,46201;1,48173
991;1,46201;1,48173
992;1,46201;1,48173
993;1,46201;1,48173
994;1,45988;1,48173
995;1,45988;1,48173
996;1,45342;1,48173
997;1,45604;1,48173
998;1,45604;1,48173
999;1,45342;1,48173
1 000;1,45342;1,4717
1 001;1,43991;1,4717
1 002;1,4505;1,48173
1 003;1,4505;1,48121
1 004;1,41526;1,48121
1 005;1,41526;1,48173
1 006;1,41526;1,48173
1 007;1,41526;1,4828
1 008;1,41258;1,4828
1 009;1,43013;1,48563
1 010;1,45488;1,48563
1 011;1,45488;1,48563
1 012;1,45488;1,48563
1 013;1,45488;1,48563
1 014;1,45488;1,48894
1 015;1,45488;1,49048
1 016;1,45488;1,49048
1 017;1,45488;1,47537
1 018;1,45488;1,47535
1 019;1,46453;1,49048
1 020;1,46453;1,49048
1 021;1,47479;1,49048
1 022;1,47479;1,49752
1 023;1,43013;1,49752
1 024;1,43013;1,49752
1 025;1,43013;1,49752
1 026;1,43013;1,46966
1 027;1,43013;1,49752
1 028;1,43013;1,49752
1 029;1,43013;1,49752
1 030;1,43013;1,49752
1 031;1,43013;1,49752
1 032;1,43013;1,48615
1 033;1,43013;1,47283
1 034;1,43013;1,47283
1 035;1,44682;1,47283
1 036;1,44682;1,47283
1 037;1,44682;1,47283
1 038;1,44682;1,47283
1 039;1,44682;1,46929
1 040;1,44682;1,46929
1 041;1,44682;1,46929
1 042;1,44682;1,46929
1 043;1,44682;1,46929
1 044;1,44682;1,46552
1 045;1,44682;1,46552
1 046;1,44682;1,46552
1 047;1,44682;1,46552
1 048;1,44682;1,46552
1 049;1,44682;1,46552
1 050;1,44682;1,46552
1 051;1,44682;1,46552
1 052;1,45171;1,46552
1 053;1,45171;1,46552
1 054;1,45171;1,46552
1 055;1,45171;1,46552
1 056;1,45171;1,45919
1 057;1,45182;1,46552
1 058;1,45536;1,46552
1 059;1,45536;1,46929
1 060;1,45536;1,46929
1 061;1,45536;1,46929
1 062;1,44682;1,46929
1 063;1,45197;1,46929
1 064;1,43792;1,46362
1 065;1,43792;1,46929
1 066;1,43792;1,46929
1 067;1,43792;1,46929
1 068;1,43792;1,46684
1 069;1,43792;1,46101
1 070;1,43792;1,45801
1 071;1,43792;1,45801
1 072;1,43792;1,46929
1 073;1,43792;1,46929
1 074;1,43792;1,46929
1 075;1,43792;1,46929
1 076;1,43792;1,46929
1 077;1,43792;1,45428
1 078;1,43792;1,45428
1 079;1,43792;1,45428
1 080;1,43926;1,45428
1 081;1,44141;1,45428
1 082;1,43926;1,45428
1 083;1,43926;1,45428
1 084;1,43926;1,45428
1 085;1,43926;1,45428
1 086;1,43926;1,45428
1 087;1,43926;1,45428
1 088;1,43792;1,44734
1 089;1,43792;1,44734
1 090;1,43792;1,44734
1 091;1,43792;1,44721
1 092;1,43792;1,46929
1 093;1,43792;1,46929
1 094;1,43792;1,46929
1 095;1,43792;1,46929
1 096;1,43792;1,46929
1 097;1,43792;1,46929
1 098;1,43792;1,4659
1 099;1,41971;1,4659
1 100;1,41971;1,4659
1 101;1,41396;1,4659
1 102;1,41396;1,4659
1 103;1,43914;1,47156
1 104;1,43914;1,46499
1 105;1,43914;1,46499
1 106;1,43914;1,47283
1 107;1,41396;1,47283
1 108;1,41068;1,46289
1 109;1,41068;1,4437
1 110;1,41068;1,4437
1 111;1,41532;1,4437
1 112;1,41532;1,4437
1 113;1,41532;1,4437
1 114;1,41532;1,47283
1 115;1,44012;1,47283
1 116;1,44402;1,47283
1 117;1,44402;1,47283
1 118;1,45817;1,47283
1 119;1,45817;1,46877
1 120;1,45817;1,47283
1 121;1,44402;1,46751
1 122;1,44736;1,46751
1 123;1,45027;1,46751
1 124;1,45027;1,46751
1 125;1,45761;1,46751
1 126;1,45761;1,46439
1 127;1,45761;1,46882
1 128;1,45884;1,46882
1 129;1,46372;1,47283
1 130;1,46372;1,46972
1 131;1,46372;1,47283
1 132;1,46372;1,47283
1 133;1,46373;1,47782
1 134;1,46373;1,47782
1 135;1,46926;1,47782
1 136;1,46373;1,47782
1 137;1,46889;1,47782
1 138;1,46373;1,47782
1 139;1,4699;1,47782
1 140;1,4699;1,48615
1 141;1,4699;1,48615
1 142;1,4699;1,48615
1 143;1,4747;1,48615
1 144;1,4747;1,4838
1 145;1,4747;1,4838
1 146;1,4747;1,48615
1 147;1,4747;1,48615
1 148;1,4747;1,48147
1 149;1,4747;1,4833
1 150;1,45761;1,4833
1 151;1,45761;1,4833
1 152;1,45761;1,47573
1 153;1,45761;1,47217
1 154;1,45761;1,47217
1 155;1,45761;1,47217
1 156;1,44402;1,47217
1 157;1,41532;1,47217
1 158;1,41532;1,47217
1 159;1,41532;1,47217
1 160;1,41532;1,48566
1 161;1,44084;1,48566
1 162;1,44084;1,48566
1 163;1,44084;1,46446
